tweet,date,weekStarting
An Apple Gin Crush is 1 part Seagram's Apple Twisted Gin and 2 parts GINGER ALE!,2014-09-21,2014-09-21
"Name this cocktail made from our Peach Twisted Gin, lemonade, and pineapple juice! #TwistedTuesday",2014-09-24,2014-09-21
RT this toast to a true artist! What is your favorite @whoisLukejames song?,2014-09-24,2014-09-21
RT @official_flo: I'm going to let you in on the secret to being a #GINtleman. Watch this:,2014-09-24,2014-09-21
The #GINtlemen @Official_Flo knows what it takes to make a classic.,2014-09-26,2014-09-21
Isn’t she lovely? #LadiesOfSG,2014-09-27,2014-09-21
"Fill in the blank: The Red-ee cocktail is 2 parts Seagram’s Red Berry Twisted Gin, Sprite and __?",2014-09-27,2014-09-21
"The Red-ee cocktail is 2 parts Seagram’s Red Berry Twisted Gin, Sprite and LEMON JUICE!",2014-09-28,2014-09-28
S/O Micah Fitzgerald for this week’s Seagram's Gin #PicOfTheWeek!,2014-09-29,2014-09-28
Remember why you started. #MondayMotivation,2014-09-29,2014-09-28
Name this cocktail made from our Lime Twisted Gin and 2 parts soda and cranberry juice! #TwistedTuesday,2014-09-30,2014-09-28
It’s easy to make hits when you have the perfect recipe. Just ask @SageTheGemini!,2014-10-01,2014-09-28
The #GINtleman @Official_Flo keeping it classic with Seagram’s Extra Dry Gin!,2014-10-03,2014-09-28
Smile back at the #LadiesOfSG!,2014-10-05,2014-10-05
Tweet a photo of you w/ Seagram’s Gin for a chance to be #PicOfTheWeek!,2014-10-05,2014-10-05
The time is now. RT if you agree! #MondayMotivation,2014-10-06,2014-10-05
"Name this cocktail made from our Pineapple Twisted Gin, Pineapple juice, Watermelon juice, &amp; Soda. #TwistedTuesday",2014-10-07,2014-10-05
West Coast rap legend @CrookedIntriago on the scene with Seagram’s Gin!,2014-10-09,2014-10-05
The #GINtleman @Official_Flo taking the stage last week at his private concert in Miami!,2014-10-10,2014-10-05
Fill in the blank: The Bay cocktail is 1 part Seagram's Lime Twisted Gin and  ___?,2014-10-11,2014-10-05
The #LadiesOfSG looking lovely in Miami last week at @Official_Flo’s private concert!,2014-10-11,2014-10-05
Tweet a photo of you w/ Seagram’s Gin for a chance to be #PicOfTheWeek!,2014-10-12,2014-10-12
The Bay cocktail is 1 part Seagram's Lime Twisted Gin and CRANBERRY JUICE!,2014-10-12,2014-10-12
#MondayMotivation,2014-10-13,2014-10-12
"Name this cocktail made from our Apple Twisted Gin, ginger beer, and a splash of lemon! #TwistedTuesday",2014-10-14,2014-10-12
Actor/Rapper @khleo_t celebrates like a #GINtlemen.,2014-10-15,2014-10-12
#TBT Seagram’s distillery as it appeared in 1900.,2014-10-17,2014-10-12
RT this toast to Saturday night. Cheers!,2014-10-18,2014-10-12
Tweet a photo of you w/ Seagram’s Gin for a chance to be #PicOfTheWeek!,2014-10-19,2014-10-19
S/O @trendydepueblo for this week’s Seagram's Gin #PicOfTheWeek!,2014-10-20,2014-10-19
#MondayMotivation,2014-10-20,2014-10-19
Name this cocktail made from our Grape Twisted Gin and cranberry juice. #TwistedTuesday,2014-10-21,2014-10-19
Ladies love @itsdonbenjamin when he’s on the scene with Seagram’s Gin!,2014-10-22,2014-10-19
RT @wizkhalifa: Take control of my night in the all new “Stayin Out All Night” interactive video!,2014-10-22,2014-10-19
@Official_Flo flies private like a #GINtleman!,2014-10-23,2014-10-19
@wizkhalifa It's was a pleasure! Cheers to the first ever interactive music video!,2014-10-24,2014-10-19
RT if you would like to relax poolside with cocktails and the #LadiesOfSG!,2014-10-24,2014-10-19
Tweet a photo of you w/ Seagram’s Gin for a chance to be #PicOfTheWeek!,2014-10-26,2014-10-26
Fill in the blank: Seagram’s Pineapple Twisted Gin and...?,2014-10-26,2014-10-26
S/O @laneacierra for this week’s Seagram's Gin #PicOfTheWeek!,2014-10-27,2014-10-26
"RT the Singapore Bling made from our Apple Twisted Gin, Martell cognac, sour mix, &amp; grenadine. #TwistedTuesday",2014-10-28,2014-10-26
@ a friend who you would like to enjoy a #SeagramsGin cocktail with tonight!,2014-10-29,2014-10-26
The #GINtleman @Official_Flo moving the crowd with #SeagramsGin! What’s your fav @official_flo record?,2014-10-31,2014-10-26
Keep it classic while entertaining at home with #SeagramsGin and tonic!,2014-11-01,2014-10-26
Follow the #LadiesOfSG for cocktail recipes and #SeagramsGin updates!,2014-11-01,2014-10-26
Tweet a photo of you with #SeagramsGin for a chance to be #PicOfTheWeek!,2014-11-02,2014-11-02
S/O @guiredifa for this week’s #SeagramsGin #PicOfTheWeek!,2014-11-03,2014-11-02
Be you and believe in you. Retweet this #SeagramsGin #MondayMotivation!,2014-11-03,2014-11-02
@tydollasign #SeagramsGin and #SignLanguage are a perfect mix! Cheers!,2014-11-04,2014-11-02
It’s #ElectionDay! We want to know which #SeagramsGin Twisted flavor is your favorite! Reply with your vote!,2014-11-05,2014-11-02
"You made it half way through the week! Reward yourself with Seagram's Peach Twisted Gin, lemonade &amp; pineapple juice!",2014-11-06,2014-11-02
There’s never a dull moment when you have the right ingredients. #SeagramsGin,2014-11-07,2014-11-02
Tweet a photo of you w/ #SeagramsGin for a chance to be #PicOfTheWeek!,2014-11-09,2014-11-09
"Who’s brunching today? Try Seagram’s Peach Twisted Gin, lemonade and pineapple juice! #SeagramsGin",2014-11-09,2014-11-09
"You work like a boss. Celebrate like one with Seagram's Peach Twisted Gin, triple sec, cranberry juice &amp; lime juice!",2014-11-09,2014-11-09
S/O to @Blogxilla from @GlobalGrind for this week’s Seagram's Gin #PicOfTheWeek!,2014-11-10,2014-11-09
The time is now. #MondayMotivation,2014-11-11,2014-11-09
Seagram's Gin raises a glass to remember our troops on this day of honor. #HappyVeteransDay,2014-11-11,2014-11-09
Add some #sunshine to your Tuesday! Mix Peach Twisted #SeagramsGin with lemon-lime soda and cranberry juice!,2014-11-12,2014-11-09
Check out #SeagramsGin in the NEW @wizkhalifa Staying Out All Night video!,2014-11-13,2014-11-09
"Sharing is caring, right? Tag 3 friends who you want to have a round of Berry Peach Fizz cocktails tonight!",2014-11-13,2014-11-09
Try one or try both tonight. Cheers! #SeagramsGin,2014-11-15,2014-11-09
Tweet a photo of you w/ #SeagramsGin for a chance to be #PicOfTheWeek!,2014-11-16,2014-11-16
"Making connections is easy w/ a #ConversationStarter. Seagram’s Extra Dry Gin, lemonade, cranberry juice &amp; grenadine",2014-11-16,2014-11-16
It’s not game day without #SeagramsGin. Mix our Apple Twisted Gin with Cranberry Juice! We call it the Big Apple!,2014-11-16,2014-11-16
S/O to @conchedia this week’s Seagram's Gin #PicOfTheWeek!,2014-11-17,2014-11-16
It all starts with you. Retweet this #SeagramsGin #MondayMotivation!,2014-11-17,2014-11-16
Monday night = Football and drinks! Kick off the night with a Peach Palmer cocktail!,2014-11-18,2014-11-16
"A Pineapple Twist makes is a smooth after work transition. Mix Seagram's Pineapple Twisted Gin, lemonade &amp; sour mix.",2014-11-18,2014-11-16
"Make hump day feel like the weekend with Seagram's Peach Twisted Gin, triple sec, cranberry juice &amp; lime juice!",2014-11-19,2014-11-16
"Here’s a vintage look at where some of the first Seagram’s bottles were produced in Waterloo, Ontario in 1928! #TBT",2014-11-21,2014-11-16
@Conchedia loves fall flavors. Kick off the weekend with 1 part Seagram's Lime Twisted Gin and tonic water tonight!,2014-11-21,2014-11-16
"Brunch is better with Ginsider Mimosas. 1.5 parts Seagram's Pineapple Twisted Gin, pineapple juice &amp; orange juice!",2014-11-23,2014-11-23
S/O to @missfaren this week’s #SeagramsGin #PicOfTheWeek!,2014-11-24,2014-11-23
Tweet us a photo of you with #SeagramsGin for a chance to be #PicOfTheWeek!,2014-11-24,2014-11-23
Believe YOU CAN. RT this #SeagramsGin #MondayMotivation with your friends!,2014-11-24,2014-11-23
"Here's the cocktail recipe for tonight's game! 1 part Seagram's Peach Twisted Gin, cranberry juice &amp; club soda!",2014-11-25,2014-11-23
"When you’re striving for greatness, sometimes you have to stop and enjoy the moment. #SeagramsGin",2014-11-25,2014-11-23
"Thanksgiving Eve is a big celebration. Own it with Seagram’s Pineapple Twisted Gin, coconut syrup &amp; pineapple juice!",2014-11-27,2014-11-23
"Toast to a #HappyThanksgiving with a Green Apple Gin-tini! Seagram's Apple Twisted Gin, Apple liqueur &amp; ginger ale!",2014-11-27,2014-11-23
"When you make it home from the #BlackFriday madness mix Seagram's Apple Twisted Gin, cranberry juice &amp; apple juice!",2014-11-28,2014-11-23
Gather up the crew for football and drinks! Mix Seagram’s Peach Twisted Gin &amp; Pineapple juice.,2014-11-30,2014-11-30
Elevate your at home celebration tonight with Seagram's Apple Twisted Gin and ginger ale! #SeagramsGin,2014-11-30,2014-11-30
Tweet a photo of you w/ #SeagramsGin for a chance to be #PicOfTheWeek!,2014-12-01,2014-11-30
S/O @molowda for this week’s #SeagramsGin #PicOfTheWeek!,2014-12-01,2014-11-30
December #LadiesOfSG model: Brittany from Detroit! RT to congratulate @Love2Luvbee on finishing the year off strong.,2014-12-05,2014-11-30
