item,sum_sale_liters,sum_sale_dollars
SAUZA BLANCO SILVER,29217.25,518781.74
BOURBON SUPREME BOURBON,29188.25,224076.13
LA PRIMA TEQUILA WHITE,29157.0,290906.13
BACARDI PARTY DRINKS BAHAMA MAMA,29085.0,170380.9
BACARDI 151 RUM,29060.85,754449.75
MIDNIGHT MOON STRAWBERRY,28990.125,616292.09
JOSE CUERVO AUTHENTIC GRAPEFRUIT TANGERINE MARGARITA,28544.25,199812.3
ADMIRAL NELSON COCONUT RUM,28387.0,317845.78
CANADIAN MIST,28339.5,268658.46
MIDORI MELON LIQUEUR,28291.5,642542.14
COURVOISIER VS COGNAC,28281.35,879435.49
BACARDI SELECT RUM,28271.0,398388.71
DEKUYPER CHERRY PUCKER,28177.0,320486.27
NORTHERN LIGHT,28085.75,207333.72
MONTEZUMA WHITE TEQUILA,27923.0,294029.19
PARAMOUNT BLUE CURACAO,27025.5,216022.39
CHI-CHI'S STRAWBERRY MARGARITA W TEQUILA,26934.25,145460.5
EZRA BROOKS KY SOUR MASH BOURBON,26873.0,312877.33
SMIRNOFF STRAWBERRY VODKA,26748.75,418466.87
DR. MCGILLICUDDY'S APPLE PIE SCHNAPPS,26739.75,445476.78
CAPTAIN MORGAN TATTOO,26064.0,450889.54
CROWN ROYAL W 2 GLASSES,26033.0,766458.73
SMIRNOFF CITRUS VODKA,25986.0,392175.13
GORDON'S VODKA,25929.0,272773.08
BUCHANAN'S 12 YR DELUXE SCOTCH,25818.75,1092819.01
PARAMOUNT SLOE GIN,25565.5,203416.58
PARAMOUNT PEACH FLAVORED BRANDY,25089.75,268746.18
BURNETTS RASPBERRY VODKA,25036.5,225233.61
CIROC PINEAPPLE,25003.125,944530.24
UV ORANGE VODKA,24947.25,320484.12
SKINNYGIRL WHITE CRANBERRY COSMO,24725.5,355076.43
99 BANANAS,24722.65,405098.92
JOSE CUERVO LIGHT WHITE PEACH MARGARITA,24673.25,173417.7
BURNETT'S CHERRY VODKA,24435.75,219469.19
BACARDI PARTY DRINKS ZOMBIE,24410.75,143339.53
PARAMOUNT CREME DE MENTHE GREEN,24333.0,224917.63
FRANGELICO LIQUEUR,24332.25,657355.09
FAMILIA CAMARENA SILVER,23661.75,473369.84
BUSHMILLS IRISH WHISKEY,23553.0,603782.06
INGENIOZ,23526.75,590050.89
ABSOLUT PEARS,23475.75,511695.41
FIVE O'CLOCK,23454.5,156659.61
CITRONGE,23434.5,644604.98
CHRISTIAN BROS BRANDY-,23285.0,247100.15
ABSOLUT RASPBERRI,23263.0,504753.77
MALIBU MANGO RUM,23220.75,340741.72
SMIRNOFF STRAWBERRY,23105.75,369794.3
ABSOLUT PEPPAR,23021.25,500254.79
BAILEY'S SALTED CARAMEL,22809.0,594582.29
MEMBER'S MARK SPICED RUM,22690.5,176207.94
KAPALI COFFEE LIQUEUR,22420.5,247120.52
BACARDI TORCHED CHERRY,22352.25,360765.34
DUECES WILD VODKA,22235.5,126853.82
TORTILLA TRIPLE SEC,21979.0,99160.9
USHER'S GREEN STRIPE,21882.0,187484.83
EVAN WILLIAMS HONEY,21846.75,336665.23
LORD CALVERT CANADIAN WHISKY,21844.0,195153.68
CRUZAN MANGO RUM,21702.75,290109.49
CHAMBORD LIQUEUR ROYALE DE FRANCE,21510.0,795859.2
FAMILIA CAMARENA REPOSADO,21255.0,425466.81
CANADIAN MIST WHISKEY,21179.25,230271.54
ARROW APRICOT FLAV BRANDY,21137.0,214752.74
KAHLUA FROZEN MUDSLIDE,21115.5,137934.34
ICE 101 PEPPERMINT SCHNAPPS,21052.0,351481.26
BULLEIT 95 RYE,20899.0,666972.42
TULLAMORE DEW IRISH WHISKY,20802.0,573732.57
BACARDI PARTY DRINKS RUM ISLAND ICED TEA,20739.25,121620.22
PARAMOUNT CREME DE CACAO DARK,20592.75,188041.65
SMIRNOFF WHIPPED CREAM,20352.75,329013.56
DEKUYPER STRAWBERRY PUCKER,19998.75,248551.25
CALICO JACK CHERRY,19948.5,244559.59
CRUZAN COCONUT RUM,19860.75,265313.25
PARAMOUNT CREME DE CACAO WHITE,19554.0,179702.04
RUMCHATA W THERMAL CUP,19495.5,487387.5
TANQUERAY STERLING VODKA,19209.75,270391.26
E & J VS BRANDY S,19126.5,221982.47
DEKUYPER ROOTBEER,19020.0,215938.98
CINERATOR,18886.4,272305.07
SMIRNOFF VANILLA,18818.5,299793.93
TORTILLA GOLD TEQUILA,18705.75,233828.78
FLEISCHMANN'S DRY GIN,18659.0,111954.0
APPLETON SIGNATURE BLEND,18654.75,361587.77
UV CITRUV (CITRUS) VODKA,18596.25,238550.82
JIM BEAM KENTUCKY FIRE,18587.65,314946.12
CALVERT GIN,18558.75,110683.91
UV CHOCOLATE CAKE,18491.5,244739.41999999998
CHRISTIAN BROTHERS HOLIDAY NOG,18453.5,162131.58
HAWKEYE BLUE RASPBERRY VODKA,18450.0,138542.74
UV CANDY BAR,18285.0,253127.90000000002
BACARDI BLACK RAZZ,18223.25,289691.69
CIROC APPLE,18203.225,673682.01
ARROW SPEARMINT SCHNAPPS,18179.25,132126.18
PHILLIPS LIME FLAVORED VODKA,18159.0,155925.53
DEKUYPER GRAPE PUCKER SCHNAPPS,18114.0,224194.4
CARAVELLA LIMONCELLO,18068.1,403954.27999999997
JIM BEAM APPLE,18011.35,355379.45999999996
UV WHIPPED,17989.5,232936.62999999998
STOLICHNAYA BLUEBERI,17897.25,433595.45
DEKUYPER CACTUS JUICE,17894.0,203380.82
BACARDI PARTY DRINKS HURRICANE,17886.75,104858.37
ST. BRENDAN'S SUPERIOR IRISH CREAM LIQUEUR,17874.25,277144.95
ABSOLUT APEACH,17820.5,386388.78
TGI FRIDAYS MUDSLIDE,17612.0,119862.24
ICE HOLE BUTTERSCOTCH SCHNAPPS,17418.75,179270.25
ABSOLUT VANILIA,17406.0,380693.05
CAPTAIN MORGAN SILVER SPICED RUM,17396.25,296876.19
CROWN ROYAL SPECIAL RESERVE,17378.25,857760.18
NEW AMSTERDAM CITRON,17139.0,236026.1
SVEDKA,17103.225,308588.82999999996
MACALLAN 12 YR SINGLE MALT SCOTCH,17055.0,1000080.8
JIM BEAM OPERATION HOMEFRONT,17010.0,276554.7
MARGARITAVILLE SILVER TEQUILA,16957.25,233013.61
GLENFIDDICH 12YR SPECIAL RESERVE,16957.0,764261.4500000001
JEREMIAH WEED SWEET TEA,16849.5,264659.4
SMIRNOFF SORBET LIGHT RASPBERRY POMEGRANATE,16718.0,274976.21
REMY MARTIN V,16706.0,641923.54
REMY MARTIN 1738 ACCORD ROYAL,16533.2,877587.72
2 GINGERS,16464.6,368062.65
MALIBU BLACK,16433.0,264551.81
BLACKHEART PREMIUM SPICED RUM,16422.85,247903.16999999998
DEKUYPER SIGNATURE CREME DE BANANA,16380.0,171969.61
UV SALTY WATERMELON,16193.75,218454.59
JIM BEAM MAPLE,16170.0,321997.6
MIDNIGHT MOON CHERRY,16110.75,342942.43
CAPTAIN MORGAN SPICED BARREL TRAY PACK,16086.0,241290.0
JOSE CUERVO PINK LEMONADE,16007.25,112508.1
KINKY GOLD,15896.5,313002.31
NEW AMSTERDAM MANGO,15867.75,222361.26
DEKUYPER RASPBERRY PUCKER,15779.75,187002.18
CUTTY SARK SCOTCH,15737.25,327780.66
FULTON''S HARVEST PUMPKIN LIQUEUR,15639.75,169792.83
CRUZAN DARK RUM,15569.25,203928.96
CODY ROAD BOURBON,15508.5,594616.05
ABSOLUT MANGO VODKA,15492.0,335854.44
PARAMOUNT VODKA,15452.75,104710.64
DRAMBUIE LIQUEUR,15362.25,630551.2
FIREWATER CINNAMON SCHNAPPS,15250.75,243183.46
JOSE CUERVO COCONUT PINEAPPLE,15246.0,107157.6
MARGARITAVILLE LAST MANGO MARGARITA,15163.75,85562.54
DEKUYPER BLACKBERRY BRANDY,15131.25,128580.78
CAPTAIN MORGAN LIME BITE,15040.0,260565.55
CRUZAN LIGHT RUM,14834.25,201218.13
DON JULIO ANEJO TEQUILA,14763.0,950650.15
BENCHMARK OLD NO. 8,14669.25,187096.04
THUNDER 101 PEPPERMINT SCHNAPPS,14651.25,206193.42
EL JIMADOR SILVER TEQUILA,14553.75,326066.69
DEEP EDDY RUBY RED,14500.95,218297.22
SVEDKA STRAWBERRY LEMONADE,14491.2,241600.12
EVAN WILLIAMS GREEN LABEL,14477.5,136767.82
DEKUYPER MELON LIQUEUR,14473.5,181331.1
10 PEACH,14453.25,117690.75
PINNACLE GIN,14409.5,143625.31
SWEET REVENGE,14332.1,311782.26
CHRISTIAN BROS HONEY,14297.25,153337.62
BOMBAY DRY GIN,14110.5,289064.71
EMMETS IRISH CREAM LIQUEUR,14075.25,170709.14
MR. BOSTON APRICOT BRANDY,14038.5,124645.4
FIREBALL CINNAMON,14009.2,187723.28
STOLICHNAYA VANIL VODKA 75,13968.0,340033.16
LA PRIMA TRIPLE SEC,13854.0,58526.16
CAPTAIN MORGAN CANNON BLAST,13845.0,244565.63
ST. REMY VSOP NAPOLEON BRANDY,13802.25,194677.81
MIDNIGHT MOON,13786.5,293369.23
CRUZAN VANILLA RUM,13656.75,182302.42
SAUZA BLUE SILVER,13574.25,292909.0
BACARDI PINEAPPLE FUSION,13518.0,222057.93
AMARETTO E DOLCE,13464.75,90072.92
SMIRNOFF CITRUS,13450.0,211153.4
JIM BEAM RYE,13449.0,303777.67
MIDNIGHT MOON BLACKBERRY,13443.0,284177.44
CAPTAIN MORGAN PARROT BAY PINEAPPLE,13418.25,200979.65
PAMA POMEGRANATE LIQUEUR,13357.5,264448.56
BIRD DOG BLACKBERRY WHISKEY,13243.5,260957.27
HOUSE OF STUART,13219.5,115960.11
GODIVA LIQUEUR,13215.0,447794.38
ABSOLUT RUBY RED,13203.75,285827.05
SMIRNOFF WATERMELON VODKA,13085.25,209398.15
CAPTAIN MORGAN PARROT BAY ORANGE,13075.5,195844.96
JIM BEAM DEVIL'S CUT,13012.0,374661.15
MCCORMICK'S IRISH CREAM,12937.5,156093.31
SKINNYGIRL WHITE PEACH MARGARITA,12799.5,182331.62
ICE HOLE MINT SCHNAPPS,12720.0,130936.05
RIVER PILOT VODKA,12693.0,309451.77
SMIRNOFF ORANGE VODKA,12617.0,187986.5
DEKUYPER RAGIN' ROOT BEER SCHNAPPS,12585.0,156395.0
NEW AMSTERDAM ORANGE,12576.525,178877.07
DEKUYPER LUSCIOUS RAZZMATAZZ,12543.75,157061.25
MAKER'S 46,12488.25,538546.6
MALIBU PASSION FRUIT RUM,12476.25,182708.5
SMIRNOFF GREEN APPLE VODKA,12451.5,199588.85
OLMECA ALTOS PLATA,12303.75,268370.94
BACARDI CLASSIC COCKTAILS MOJITO,12299.0,101624.5
RICH & RARE RESERVE,12213.75,158636.01
