weekStarting,Brand,Sum_sum_sale_liters,Sum_sum_sale_dollars
2012-04-15,Crown Royal,7869.55,219878.19
2012-04-15,Fireball,2375.625,38701.9
2012-04-15,Five,15974.6,101626.97
2012-04-15,Five Star,3935.675,26283.35
2012-04-15,Hawkeye,16298.375,103951.39
2012-04-15,Jack Daniels,7318.225,181745.6
2012-04-15,Jagermeister,4018.025,92168.61
2012-04-15,Jim Beam,3868.425,68267.05
2012-04-15,McCormick,223.5,1711.49
2012-04-15,Paramount,16716.125,118553.1
2012-04-15,Phillips,9447.1,60186.95
2012-04-15,Seagrams,9630.5,109677.07
2012-04-15,Smirnoff,9508.375,135205.56
2012-04-22,Absolut,5606.3,119944.12
2012-04-22,Admiral Nelson,4055.825,42820.07
2012-04-22,Bacardi,9134.741,131798.06
2012-04-22,Barton,8829.75,52640.09
2012-04-22,Black Velvet,18828.5,181533.01
2012-04-22,Canadian,18823.75,237193.68
2012-04-22,Captain Morgan,19103.5,303991.63
2012-04-22,Crown Royal,4838.75,134630.83
2012-04-22,Fireball,1992.125,32108.55
2012-04-22,Five,15009.675,95651.9100000001
2012-04-22,Five Star,3675.9,24464.96
2012-04-22,Hawkeye,14962.375,94812.6899999999
2012-04-22,Jack Daniels,7204.55,183237.91
2012-04-22,Jagermeister,4671.975,107143.51
2012-04-22,Jim Beam,3448.6,62007.1100000001
2012-04-22,McCormick,179.25,1394.5
2012-04-22,Paramount,15128.75,107655.24
2012-04-22,Phillips,9590.375,60773.7100000001
2012-04-22,Seagrams,8227.65,94201.69
2012-04-22,Smirnoff,10500.325,146791.05
2012-04-29,Absolut,5922.2,123645.92
2012-04-29,Admiral Nelson,5125.5,54105.5299999999
2012-04-29,Bacardi,10217.172,146010.49
2012-04-29,Barton,7849.125,46684.86
2012-04-29,Black Velvet,33056.9,301227.07
2012-04-29,Canadian,17610.45,238837.81
2012-04-29,Captain Morgan,18323.025,300382.25
2012-04-29,Crown Royal,5432.775,152566.08
2012-04-29,Fireball,2304.875,37960.42
2012-04-29,Five,15038,95823.5200000001
2012-04-29,Five Star,3456.125,22984.17
2012-04-29,Hawkeye,23452.625,147568.33
2012-04-29,Jack Daniels,6993.9,173790.85
2012-04-29,Jagermeister,5761.675,134387.88
2012-04-29,Jim Beam,4180.85,74133.3000000001
2012-04-29,McCormick,248.25,1728.86
2012-04-29,Paramount,16746,119255.71
2012-04-29,Phillips,7692.5,48634.4600000001
2012-04-29,Seagrams,7905.95,91751.0900000001
2012-04-29,Smirnoff,7869.225,116370.86
2012-05-06,Absolut,5999.625,127008.29
2012-05-06,Admiral Nelson,4564.475,47905.5599999999
2012-05-06,Bacardi,9819.69,137281.17
2012-05-06,Barton,7537.5,45011.6000000001
2012-05-06,Black Velvet,34817.9,315358.26
2012-05-06,Canadian,16999.925,236021.93
2012-05-06,Captain Morgan,18299.2,303885.59
2012-05-06,Crown Royal,5398.4,151243.86
2012-05-06,Fireball,2588.875,41160.04
2012-05-06,Five,15854.65,100904.81
2012-05-06,Five Star,3611.2,24209.06
2012-05-06,Hawkeye,21991,138716.93
2012-05-06,Jack Daniels,4876.05,122961.05
2012-05-06,Jagermeister,3391.5,81494.3600000001
2012-05-06,Jim Beam,4377,78295.0200000001
2012-05-06,McCormick,230,1872.93
2012-05-06,Paramount,15774.25,111260.49
2012-05-06,Phillips,5960.375,38146.32
2012-05-06,Seagrams,7374.3,87483.0000000001
2012-05-06,Smirnoff,7966.7,119596.44
2012-05-13,Absolut,5964.075,125248.34
2012-05-13,Admiral Nelson,5219.45,54798.3599999999
2012-05-13,Bacardi,10793.576,151334.59
2012-05-13,Barton,7096.5,42361.22
