weekStarting,Brand,Sum_sum_sale_liters,Sum_sum_sale_dollars,TweetCount
2013-07-21,Jack Daniels,5307.525,139836.64,14
2013-07-21,Jagermeister,3129.075,75581.0900000001,8
2013-07-21,Seagrams,6753.8,80989.81,4
2013-07-21,Smirnoff,10542.5,162119.43,13
2013-07-28,Admiral Nelson,4593.5,48518.3499999999,3
2013-07-28,Crown Royal,7475.275,217130.78,45
2013-07-28,Jack Daniels,9466.575,249540.22,24
2013-07-28,Jagermeister,3763.5,90647.0800000001,19
2013-07-28,Seagrams,8010.95,96450.1400000001,12
2013-07-28,Smirnoff,11986.3,180013.39,10
2013-08-04,Admiral Nelson,4880,51226.83,3
2013-08-04,Captain Morgan,15480.325,260574.75,4
2013-08-04,Crown Royal,9812.525,285099.27,22
2013-08-04,Jack Daniels,5486.925,144007.57,12
2013-08-04,Jagermeister,5169.8,124053.86,9
2013-08-04,Seagrams,7531.075,91990.7500000001,7
2013-08-04,Smirnoff,10344.7,155244.66,10
2013-08-11,Absolut,11069.275,238006.21,1
2013-08-11,Admiral Nelson,5536.125,58453.5499999999,3
2013-08-11,Bacardi,14840.675,203522.44,22
2013-08-11,Captain Morgan,14311.9,241363.4,11
2013-08-11,Crown Royal,9326.22499999999,267620.84,47
2013-08-11,Jagermeister,4199.45,100248.32,7
2013-08-11,Seagrams,7065.2,85272.8999999999,6
2013-08-11,Smirnoff,9738.325,147675.62,11
2013-08-18,Absolut,6017.1,131501.27,1
2013-08-18,Admiral Nelson,5318.25,55864.5999999999,3
2013-08-18,Bacardi,9400.725,128766.94,108
2013-08-18,Captain Morgan,21358.35,360275.27,24
2013-08-18,Crown Royal,10652.475,304335.23,48
2013-08-18,Jack Daniels,6403.125,169011.29,1
2013-08-18,Jagermeister,3844.4,92154.0200000001,6
2013-08-18,Seagrams,7236.775,87455.5700000001,6
2013-08-18,Smirnoff,12832.9,184381.85,8
2013-08-25,Admiral Nelson,6730.125,71140.9599999999,3
2013-08-25,Bacardi,12384.275,170871.45,59
2013-08-25,Captain Morgan,21562.6,357818.99,8
2013-08-25,Crown Royal,19645.5,571868.919999999,45
2013-08-25,Jack Daniels,7683.175,202841.28,1
2013-08-25,Jagermeister,4654.775,110987.85,1
2013-08-25,Seagrams,8912.525,106015.83,8
2013-08-25,Smirnoff,12191.775,182447.77,10
2013-09-01,Admiral Nelson,4629.125,49169.0699999999,3
