eventdate,ActionGeo_FullName,tone,ActionGeo_Lat,ActionGeo_Long,geo,city,eventweek
2012-01-29,"Dubuque, Iowa, United States",1.8770722121237584,42.5006,-90.6646,"42.5006,-90.6646",DUBUQUE,2012-01-29
2012-01-29,"Des Moines, Iowa, United States",0.22576914468343046,41.6005,-93.6091,"41.6005,-93.6091",DES MOINES,2012-01-29
2012-01-29,"Storm Lake, Iowa, United States",2.08803611738149,42.6411,-95.2097,"42.6411,-95.2097",STORM LAKE,2012-01-29
2012-01-29,"Olin, Iowa, United States",3.942652329749105,41.9981,-91.1415,"41.9981,-91.1415",STANWOOD,2012-01-29
2012-01-30,"Lake View, Iowa, United States",1.98019801980198,42.3069,-95.0517,"42.3069,-95.0517",LAKE VIEW,2012-01-29
2012-01-30,"Shenandoah, Iowa, United States",0.965277774054333,40.7656,-95.3722,"40.7656,-95.3722",SHENANDOAH,2012-01-29
2012-01-30,"Emmetsburg, Iowa, United States",1.3364779874213826,43.1127,-94.68299999999999,"43.1127,-94.68299999999999",EMMETSBURG,2012-01-29
2012-01-30,"Mahaska County, Iowa, United States",5.45073375262055,41.3333,-92.6502,"41.3333,-92.6502",OSKALOOSA,2012-01-29
2012-01-30,"Sioux City, Iowa, United States",0.4563773469640959,42.5,-96.4003,"42.5,-96.4003",SIOUX CITY,2012-01-29
2012-01-30,"Charles City, Iowa, United States",0.4914388725240656,43.0664,-92.6724,"43.0664,-92.6724",CHARLES CITY,2012-01-29
2012-01-31,"Cerro Gordo County, Iowa, United States",0.9116539307251859,43.0833,-93.2669,"43.0833,-93.2669",MASON CITY,2012-01-29
2012-01-31,"Emmetsburg, Iowa, United States",2.8350515463917554,43.1127,-94.68299999999999,"43.1127,-94.68299999999999",EMMETSBURG,2012-01-29
2012-01-31,"Melrose, Iowa, United States",4.86815415821501,40.9761,-93.0505,"40.9761,-93.0505",ALBIA,2012-01-29
2012-01-31,"Morningside, Iowa, United States",1.61290322580645,42.4689,-96.3592,"42.4689,-96.3592",SIOUX CITY,2012-01-29
2012-01-31,"City Of Northwood, Iowa, United States",6.96452036793692,43.4441,-93.2166,"43.4441,-93.2166",NORTHWOOD,2012-01-29
2012-01-31,"Forest City, Iowa, United States",0.7485963817841543,43.2625,-93.6372,"43.2625,-93.6372",FOREST CITY,2012-01-29
2012-01-31,"Pottawattamie County, Iowa, United States",3.75586854460094,41.3333,-95.5336,"41.3333,-95.5336",OAKLAND,2012-01-29
2012-01-31,"Jordan Creek, Iowa, United States",1.8258426966292132,42.0261,-92.596,"42.0261,-92.596",TOLEDO,2012-01-29
2012-02-01,"Pottawattamie County, Iowa, United States",0.8860053825451755,41.3333,-95.5336,"41.3333,-95.5336",OAKLAND,2012-01-29
2012-02-01,"Plymouth County, Iowa, United States",1.2836483898425304,42.7333,-96.2336,"42.7333,-96.2336",MERRILL,2012-01-29
2012-02-02,"Bible Church, Iowa, United States",3.4208059981255845,42.3169,-91.7741,"42.3169,-91.7741",WALKER,2012-01-29
2012-02-02,"Fremont, Iowa, United States",0.42918454935622297,41.2125,-92.4355,"41.2125,-92.4355",EDDYVILLE,2012-01-29
2012-02-02,"Mitchellville, Iowa, United States",2.6845637583892596,41.6686,-93.3577,"41.6686,-93.3577",BONDURANT,2012-01-29
2012-02-02,"Story County, Iowa, United States",8.982035928143711,42.0333,-93.4669,"42.0333,-93.4669",NEVADA,2012-01-29
2012-02-02,"Belle Plaine, Iowa, United States",0.6157138278135376,41.8969,-92.2782,"41.8969,-92.2782",BELLE PLAINE,2012-01-29
2012-02-02,"Trinity College, Iowa, United States",10.7913669064748,42.5275,-96.3773,"42.5275,-96.3773",SIOUX CITY,2012-01-29
2012-02-02,"Fremont County, Iowa, United States",0.1785714285714285,40.7506,-95.6003,"40.7506,-95.6003",HAMBURG,2012-01-29
